@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
145,'2020/01/11 13:40:25:708',1,183.5625,275.09375,1
146,'2020/01/11 13:40:25:718',1,184,273.072937,1
147,'2020/01/11 13:40:25:729',1,183.5625,271.557312,1
148,'2020/01/11 13:40:25:739',1,184.4375,269.536438,1
149,'2020/01/11 13:40:25:749',1,184.875,267.515625,1
150,'2020/01/11 13:40:25:760',1,186.625,264.989594,1
151,'2020/01/11 13:40:25:770',1,187.0625,262.96875,1
152,'2020/01/11 13:40:25:780',1,187.9375,260.442719,1
153,'2020/01/11 13:40:25:791',1,188.375,258.927094,1
154,'2020/01/11 13:40:25:801',1,188.8125,256.90625,1
155,'2020/01/11 13:40:25:811',1,188.375,255.390625,1
156,'2020/01/11 13:40:25:822',1,188.8125,254.380219,1
157,'2020/01/11 13:40:25:832',1,189.6875,253.369781,1
158,'2020/01/11 13:40:25:842',1,190.125,252.864594,1
159,'2020/01/11 13:40:25:853',1,190.5625,252.359375,1
160,'2020/01/11 13:40:25:863',1,191.4375,251.348969,1
161,'2020/01/11 13:40:25:873',1,192.3125,250.84375,1
162,'2020/01/11 13:40:25:883',1,194.9375,247.8125,1
163,'2020/01/11 13:40:25:894',1,197.125,246.296875,1
164,'2020/01/11 13:40:25:904',1,197.125,246.296875,1
165,'2020/01/11 13:40:25:914',1,198.875,244.276031,1
166,'2020/01/11 13:40:25:925',1,200.625,243.265625,1
167,'2020/01/11 13:40:25:935',1,201.9375,241.75,1
168,'2020/01/11 13:40:25:945',1,203.6875,240.739594,1
169,'2020/01/11 13:40:25:956',1,205,239.729156,1
170,'2020/01/11 13:40:25:966',1,206.3125,238.71875,1
171,'2020/01/11 13:40:25:976',1,208.0625,237.708344,1
172,'2020/01/11 13:40:25:987',1,209.375,236.697906,1
173,'2020/01/11 13:40:25:997',1,211.125,235.6875,1
174,'2020/01/11 13:40:26:008',1,214.1875,234.171875,1
175,'2020/01/11 13:40:26:018',1,215.9375,234.171875,1
176,'2020/01/11 13:40:26:029',1,216.8125,233.666656,1
177,'2020/01/11 13:40:26:039',1,218.5625,233.666656,1
178,'2020/01/11 13:40:26:049',1,219.875,233.161469,1
179,'2020/01/11 13:40:26:060',1,220.3125,233.666656,1
180,'2020/01/11 13:40:26:070',1,221.1875,233.666656,1
181,'2020/01/11 13:40:26:081',1,221.1875,234.171875,1
182,'2020/01/11 13:40:26:091',1,221.625,234.677094,1
183,'2020/01/11 13:40:26:101',1,221.625,235.182281,1
184,'2020/01/11 13:40:26:112',1,222.5,235.6875,1
185,'2020/01/11 13:40:26:122',1,222.9375,236.697906,1
186,'2020/01/11 13:40:26:132',1,222.9375,237.708344,1
187,'2020/01/11 13:40:26:143',1,223.8125,238.71875,1
188,'2020/01/11 13:40:26:153',1,225.125,240.234375,1
189,'2020/01/11 13:40:26:163',1,225.5625,240.739594,1
190,'2020/01/11 13:40:26:174',1,226.875,241.75,1
191,'2020/01/11 13:40:26:184',1,227.75,244.276031,1
192,'2020/01/11 13:40:26:194',1,229.0625,247.8125,1
193,'2020/01/11 13:40:26:205',1,229.5,249.833344,1
194,'2020/01/11 13:40:26:215',1,229.5,249.833344,1
195,'2020/01/11 13:40:26:225',1,229.5,251.854156,1
196,'2020/01/11 13:40:26:236',1,353.3125,252.864594,1
197,'2020/01/11 13:40:26:246',1,230.375,255.895844,1
198,'2020/01/11 13:40:26:256',1,230.375,257.411469,1
199,'2020/01/11 13:40:26:267',1,230.375,257.411469,1
200,'2020/01/11 13:40:26:277',1,230.8125,258.421875,1
201,'2020/01/11 13:40:26:288',1,231.25,259.9375,1
202,'2020/01/11 13:40:26:298',1,523.0625,260.947906,1
203,'2020/01/11 13:40:26:308',1,230.375,262.96875,1
204,'2020/01/11 13:40:26:319',1,230.375,263.979156,1
