@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
15088,'2020/01/11 01:54:52:813',7,325.75,136.666672,1
15089,'2020/01/11 01:54:52:823',7,325.3125,136.666672,1
15090,'2020/01/11 01:54:52:833',7,324.4375,136.666672,1
15091,'2020/01/11 01:54:52:844',7,323.125,136.666672,1
15092,'2020/01/11 01:54:52:854',7,322.25,137.171875,1
15093,'2020/01/11 01:54:52:865',7,320.9375,137.171875,1
15094,'2020/01/11 01:54:52:876',7,319.1875,136.666672,1
15095,'2020/01/11 01:54:52:886',7,318.75,136.666672,1
15096,'2020/01/11 01:54:52:897',7,318.3125,136.666672,1
15097,'2020/01/11 01:54:52:907',7,317.875,136.161453,1
15098,'2020/01/11 01:54:52:917',7,317.875,136.161453,1
15099,'2020/01/11 01:54:52:928',7,317.875,136.666672,1
15100,'2020/01/11 01:54:52:938',7,318.3125,137.171875,1
15101,'2020/01/11 01:54:52:949',7,317.875,138.182297,1
15102,'2020/01/11 01:54:52:959',7,316.5625,139.192703,1
15103,'2020/01/11 01:54:52:969',7,316.5625,139.192703,1
15104,'2020/01/11 01:54:52:980',7,315.6875,139.697922,1
15105,'2020/01/11 01:54:52:990',7,315.25,140.203125,1
15106,'2020/01/11 01:54:53:001',7,314.8125,140.203125,1
15107,'2020/01/11 01:54:53:011',7,314.8125,140.708328,1
15108,'2020/01/11 01:54:53:021',7,314.8125,141.71875,1
15109,'2020/01/11 01:54:53:032',7,315.6875,143.234375,1
15110,'2020/01/11 01:54:53:042',7,315.6875,143.739578,1
15111,'2020/01/11 01:54:53:052',7,315.6875,143.739578,1
15112,'2020/01/11 01:54:53:063',7,315.25,148.286453,1
15113,'2020/01/11 01:54:53:073',7,524.8125,72,1
15114,'2020/01/11 01:54:53:083',7,312.1875,156.369797,1
15115,'2020/01/11 01:54:53:094',7,311.3125,160.411453,1
15116,'2020/01/11 01:54:53:104',7,310,163.442703,1
15117,'2020/01/11 01:54:53:114',7,189.6875,178.598969,1
15118,'2020/01/11 01:54:53:125',7,309.125,169,1
15119,'2020/01/11 01:54:53:135',7,310,171.020844,1
15120,'2020/01/11 01:54:53:146',7,311.3125,173.041656,1
15121,'2020/01/11 01:54:53:156',7,312.625,174.557281,1
15122,'2020/01/11 01:54:53:166',7,314.8125,176.578125,1
15123,'2020/01/11 01:54:53:177',7,316.125,178.09375,1
15124,'2020/01/11 01:54:53:188',7,317.875,179.609375,1
15125,'2020/01/11 01:54:53:198',7,319.1875,181.125,1
15126,'2020/01/11 01:54:53:209',7,320.0625,182.640625,1
15127,'2020/01/11 01:54:53:219',7,320.0625,183.651031,1
15128,'2020/01/11 01:54:53:229',7,319.625,184.15625,1
15129,'2020/01/11 01:54:53:240',7,319.1875,185.166656,1
15130,'2020/01/11 01:54:53:250',7,319.1875,185.166656,1
15131,'2020/01/11 01:54:53:261',7,319.1875,186.177094,1
15132,'2020/01/11 01:54:53:271',7,319.625,187.692719,1
15133,'2020/01/11 01:54:53:281',7,320.0625,188.703125,1
15134,'2020/01/11 01:54:53:292',7,321.375,189.713531,1
15135,'2020/01/11 01:54:53:302',7,321.8125,190.723969,1
15136,'2020/01/11 01:54:53:312',7,322.25,191.229156,1
15137,'2020/01/11 01:54:53:323',7,322.25,192.239594,1
15138,'2020/01/11 01:54:53:333',7,322.25,193.25,1
15139,'2020/01/11 01:54:53:344',7,321.8125,194.260406,1
15140,'2020/01/11 01:54:53:354',7,321.375,194.765625,1
15141,'2020/01/11 01:54:53:365',7,320.9375,195.776031,1
15142,'2020/01/11 01:54:53:375',7,320.9375,196.786469,1
15143,'2020/01/11 01:54:53:386',7,321.8125,197.796875,1
15144,'2020/01/11 01:54:53:396',7,322.6875,197.796875,1
15145,'2020/01/11 01:54:53:406',7,522.625,72,1
15146,'2020/01/11 01:54:53:417',7,325.3125,197.291656,1
15147,'2020/01/11 01:54:53:427',7,325.75,196.786469,1
15148,'2020/01/11 01:54:53:438',7,326.625,196.786469,1
15149,'2020/01/11 01:54:53:448',7,327.5,196.28125,1
15150,'2020/01/11 01:54:53:459',7,328.375,195.776031,1
15151,'2020/01/11 01:54:53:470',7,328.375,195.270844,1
15152,'2020/01/11 01:54:53:480',7,328.8125,195.270844,1
15153,'2020/01/11 01:54:53:491',7,328.8125,194.765625,1
15154,'2020/01/11 01:54:53:501',7,328.8125,194.260406,1
15155,'2020/01/11 01:54:53:511',7,329.25,193.755219,1
15156,'2020/01/11 01:54:53:522',7,329.25,193.755219,1
15157,'2020/01/11 01:54:53:532',7,329.25,193.25,1
15158,'2020/01/11 01:54:53:543',7,329.6875,192.744781,1
