@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
230,'2020/01/12 17:33:51:060',1,266.6875,307.932312,1
231,'2020/01/12 17:33:51:070',1,272.8125,308.4375,1
232,'2020/01/12 17:33:51:080',1,278.0625,308.4375,1
233,'2020/01/12 17:33:51:091',1,283.3125,307.932312,1
234,'2020/01/12 17:33:51:101',1,288.125,306.921875,1
235,'2020/01/12 17:33:51:112',1,292.9375,305.911438,1
236,'2020/01/12 17:33:51:122',1,297.75,303.385437,1
237,'2020/01/12 17:33:51:132',1,302.125,300.354187,1
238,'2020/01/12 17:33:51:143',1,307.375,297.322937,1
239,'2020/01/12 17:33:51:153',1,312.1875,293.786438,1
240,'2020/01/12 17:33:51:164',1,316.5625,290.25,1
241,'2020/01/12 17:33:51:174',1,320.9375,286.713562,1
242,'2020/01/12 17:33:51:184',1,324.4375,283.682312,1
243,'2020/01/12 17:33:51:195',1,326.625,280.145813,1
244,'2020/01/12 17:33:51:205',1,329.6875,272.0625,1
245,'2020/01/12 17:33:51:215',1,331,268.020813,1
246,'2020/01/12 17:33:51:226',1,332.75,263.979156,1
247,'2020/01/12 17:33:51:236',1,523.9375,263.979156,1
248,'2020/01/12 17:33:51:247',1,334.9375,255.895844,1
249,'2020/01/12 17:33:51:257',1,335.8125,252.359375,1
250,'2020/01/12 17:33:51:267',1,336.25,249.328125,1
251,'2020/01/12 17:33:51:278',1,336.6875,246.802094,1
252,'2020/01/12 17:33:51:288',1,336.6875,243.770844,1
253,'2020/01/12 17:33:51:298',1,336.6875,241.244781,1
254,'2020/01/12 17:33:51:309',1,336.25,238.213531,1
255,'2020/01/12 17:33:51:319',1,335.375,234.171875,1
256,'2020/01/12 17:33:51:329',1,334.0625,230.635406,1
257,'2020/01/12 17:33:51:340',1,332.3125,226.59375,1
258,'2020/01/12 17:33:51:350',1,329.6875,221.036469,1
259,'2020/01/12 17:33:51:361',1,327.5,217.5,1
260,'2020/01/12 17:33:51:371',1,325.3125,213.963531,1
261,'2020/01/12 17:33:51:382',1,322.6875,210.932281,1
262,'2020/01/12 17:33:51:392',1,319.1875,208.911469,1
263,'2020/01/12 17:33:51:403',1,316.125,207.901031,1
264,'2020/01/12 17:33:51:413',1,312.625,207.395844,1
265,'2020/01/12 17:33:51:424',1,309.5625,206.890625,1
266,'2020/01/12 17:33:51:434',1,306.0625,205.880219,1
267,'2020/01/12 17:33:51:444',1,304.3125,203.859375,1
268,'2020/01/12 17:33:51:455',1,302.125,202.34375,1
269,'2020/01/12 17:33:51:465',1,301.25,199.817719,1
270,'2020/01/12 17:33:51:476',1,300.375,197.796875,1
271,'2020/01/12 17:33:51:486',1,298.625,196.28125,1
272,'2020/01/12 17:33:51:497',1,297.75,196.28125,1
273,'2020/01/12 17:33:51:507',1,294.6875,196.28125,1
274,'2020/01/12 17:33:51:518',1,289.4375,198.302094,1
275,'2020/01/12 17:33:51:528',1,287.6875,200.322906,1
276,'2020/01/12 17:33:51:538',1,287.6875,200.322906,1
277,'2020/01/12 17:33:51:549',1,287.25,206.890625,1
278,'2020/01/12 17:33:51:559',1,288.5625,210.932281,1
279,'2020/01/12 17:33:51:569',1,291.625,214.46875,1
280,'2020/01/12 17:33:51:580',1,295.5625,219.015625,1
281,'2020/01/12 17:33:51:590',1,299.0625,222.046875,1
282,'2020/01/12 17:33:51:600',1,302.5625,223.057281,1
283,'2020/01/12 17:33:51:611',1,305.1875,223.057281,1
284,'2020/01/12 17:33:51:621',1,306.9375,222.552094,1
285,'2020/01/12 17:33:51:631',1,308.25,221.036469,1
286,'2020/01/12 17:33:51:642',1,309.125,220.026031,1
287,'2020/01/12 17:33:51:652',1,310,219.015625,1
288,'2020/01/12 17:33:51:662',1,310,217.5,1
289,'2020/01/12 17:33:51:673',1,309.5625,214.973969,1
290,'2020/01/12 17:33:51:683',1,309.5625,211.942719,1
291,'2020/01/12 17:33:51:694',1,310,209.921875,1
292,'2020/01/12 17:33:51:704',1,310,206.890625,1
293,'2020/01/12 17:33:51:714',1,309.5625,204.869781,1
294,'2020/01/12 17:33:51:725',1,309.125,202.848969,1
295,'2020/01/12 17:33:51:735',1,307.8125,200.828125,1
296,'2020/01/12 17:33:51:745',1,305.1875,199.3125,1
297,'2020/01/12 17:33:51:756',1,301.25,197.291656,1
298,'2020/01/12 17:33:51:766',1,297.75,195.270844,1
299,'2020/01/12 17:33:51:777',1,292.5,193.755219,1
300,'2020/01/12 17:33:51:787',1,287.6875,191.734375,1
301,'2020/01/12 17:33:51:797',1,283.75,191.229156,1
302,'2020/01/12 17:33:51:808',1,278.5,190.723969,1
303,'2020/01/12 17:33:51:818',1,273.6875,191.229156,1
304,'2020/01/12 17:33:51:829',1,269.3125,192.239594,1
305,'2020/01/12 17:33:51:839',1,262.3125,193.755219,1
306,'2020/01/12 17:33:51:849',1,257.5,194.765625,1
307,'2020/01/12 17:33:51:860',1,253.5625,195.776031,1
308,'2020/01/12 17:33:51:870',1,246.125,198.807281,1
309,'2020/01/12 17:33:51:880',1,242.625,200.322906,1
310,'2020/01/12 17:33:51:891',1,242.625,200.322906,1
311,'2020/01/12 17:33:51:901',1,238.6875,206.385406,1
312,'2020/01/12 17:33:51:911',1,236.9375,208.911469,1
313,'2020/01/12 17:33:51:922',1,234.75,211.942719,1
314,'2020/01/12 17:33:51:932',1,233.4375,214.973969,1
315,'2020/01/12 17:33:51:943',1,231.25,216.489594,1
316,'2020/01/12 17:33:51:953',1,228.625,219.520844,1
317,'2020/01/12 17:33:51:963',1,227.3125,222.046875,1
318,'2020/01/12 17:33:51:974',1,225.5625,224.067719,1
319,'2020/01/12 17:33:51:984',1,225.5625,227.604156,1
320,'2020/01/12 17:33:51:995',1,226.4375,231.140625,1
321,'2020/01/12 17:33:52:005',1,226.4375,231.140625,1
322,'2020/01/12 17:33:52:015',1,227.75,235.6875,1
323,'2020/01/12 17:33:52:026',1,230.8125,240.234375,1
324,'2020/01/12 17:33:52:036',1,236.9375,251.348969,1
325,'2020/01/12 17:33:52:046',1,240.4375,255.390625,1
326,'2020/01/12 17:33:52:057',1,243.9375,258.927094,1
327,'2020/01/12 17:33:52:067',1,247.4375,260.947906,1
328,'2020/01/12 17:33:52:078',1,250.9375,262.96875,1
329,'2020/01/12 17:33:52:088',1,254.875,264.484375,1
330,'2020/01/12 17:33:52:098',1,259.25,267.010437,1
331,'2020/01/12 17:33:52:109',1,263.625,270.546875,1
332,'2020/01/12 17:33:52:119',1,268,274.083313,1
333,'2020/01/12 17:33:52:130',1,272.8125,277.619812,1
334,'2020/01/12 17:33:52:140',1,275.875,278.630188,1
335,'2020/01/12 17:33:52:151',1,278.9375,279.135437,1
336,'2020/01/12 17:33:52:161',1,282.875,279.135437,1
337,'2020/01/12 17:33:52:172',1,286.8125,278.630188,1
338,'2020/01/12 17:33:52:182',1,290.75,277.619812,1
339,'2020/01/12 17:33:52:192',1,295.125,276.609375,1
340,'2020/01/12 17:33:52:203',1,299.5,275.09375,1
341,'2020/01/12 17:33:52:214',1,304.3125,274.083313,1
342,'2020/01/12 17:33:52:224',1,313.9375,271.052063,1
343,'2020/01/12 17:33:52:234',1,318.75,269.03125,1
344,'2020/01/12 17:33:52:245',1,318.75,269.03125,1
345,'2020/01/12 17:33:52:255',1,323.125,263.979156,1
346,'2020/01/12 17:33:52:266',1,325.75,260.947906,1
347,'2020/01/12 17:33:52:276',1,328.375,254.885406,1
348,'2020/01/12 17:33:52:286',1,330.125,251.348969,1
349,'2020/01/12 17:33:52:297',1,332.75,248.317719,1
350,'2020/01/12 17:33:52:307',1,335.375,245.286469,1
351,'2020/01/12 17:33:52:318',1,338,242.760406,1
352,'2020/01/12 17:33:52:328',1,341.0625,239.729156,1
353,'2020/01/12 17:33:52:339',1,344.5625,237.708344,1
